"title","score","term","other","quote"
"末代皇帝",9.3,"“不要跟我比惨，我比你更惨”再适合这部电影不过了。","末代皇帝溥仪(港)    L'ultimo imperatore","“不要跟我比惨，我比你更惨”再适合这部电影不过了。"
"寻梦环游记",9.1,"死亡不是真的逝去，遗忘才是永恒的消亡。","玩转极乐园(港)    可可夜总会(台)","死亡不是真的逝去，遗忘才是永恒的消亡。"
"龙猫",9.2,"人人心中都有个龙猫，童年就永远不会消失。","邻居托托罗    邻家的豆豆龙","人人心中都有个龙猫，童年就永远不会消失。"
"怦然心动",9.1,"真正的幸福是来自内心深处。","萌动青春    青春萌动","真正的幸福是来自内心深处。"
"活着",9.3,"张艺谋最好的电影。","人生    Lifetimes","张艺谋最好的电影。"
"蝙蝠侠：黑暗骑士",9.2,"无尽的黑暗。","蝙蝠侠前传2：黑暗骑士    黑暗骑士(台)","无尽的黑暗。"
"哈利·波特与魔法石",9.2,"童话世界的开端。","哈利波特1：神秘的魔法石(港  台)","童话世界的开端。"
"指环王3：王者无敌",9.3,"史诗的终章。","魔戒三部曲：王者再临(台  港)","史诗的终章。"
"我不是药神",9,"对我们国家而言，这样的电影多一部是一部。","中国药神    印度药神","对我们国家而言，这样的电影多一部是一部。"
"乱世佳人",9.3,"Tomorrow is another day.","飘","Tomorrow is another day."
"飞屋环游记",9.1,"最后那些最无聊的事情，才是最值得怀念的。 ","冲天救兵(港)    天外奇迹(台)","最后那些最无聊的事情，才是最值得怀念的。"
"素媛",9.3,"受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。","许愿    希望：为爱重生(台)","受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。"
"哈尔的移动城堡",9.1,"带着心爱的人在天空飞翔。","哈尔移动城堡(港)    霍尔的移动城堡(台)","带着心爱的人在天空飞翔。"
"十二怒汉",9.4,"1957年的理想主义。 ","12怒汉    十二怒汉","1957年的理想主义。"
"何以为家",9.1,"凝视卑弱生命，用电影改变命运。","迦百农    星仔打官司(港)","凝视卑弱生命，用电影改变命运。"
"摔跤吧！爸爸",9,"你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。","我和我的冠军女儿(台)    打死不离3父女(港)","你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。"
"让子弹飞",9,"你给我翻译翻译，神马叫做TMD的惊喜。","让子弹飞一会儿    火烧云","你给我翻译翻译，神马叫做TMD的惊喜。"
"猫鼠游戏",9.1,"骗子大师和执著警探的你追我跑故事。 ","逍遥法外    捉智双雄(港)","骗子大师和执著警探的你追我跑故事。"
"天空之城",9.2,"对天空的追逐，永不停止。 ","天空之城拉普他    空中城堡拉普他","对天空的追逐，永不停止。"
"鬼子来了",9.3,"对敌人的仁慈，就是对自己残忍。","Devils on the Doorstep","对敌人的仁慈，就是对自己残忍。"
"少年派的奇幻漂流",9.1,"瑰丽壮观、无人能及的冒险之旅。","少年Pi的奇幻漂流    漂流少年Pi","瑰丽壮观、无人能及的冒险之旅。"
"海蒂和爷爷",9.3,"如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。","飘零燕(港)    海蒂","如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。"
"钢琴家",9.3,"音乐能化解仇恨。","钢琴战曲(港)    战地琴人(台)","音乐能化解仇恨。"
"大话西游之月光宝盒",9,"旷古烁今。","西游记101回月光宝盒    齐天大圣东游记","旷古烁今。"
"指环王2：双塔奇兵",9.2,"承前启后的史诗篇章。","魔戒二部曲：双城奇谋    指环王II：双塔","承前启后的史诗篇章。"
"闻香识女人",9.1,"史上最美的探戈。","女人香    女人的芳香","史上最美的探戈。"
